SIPARIS_NO;PARA_BIRIMI;TOPLAM;TOPLAM_TRY
S.ACM.GAN.000043;TL;1181.82;1181.82
S.ACM.GAN.000031;TL;1181.82;1181.82
S.ACM.GAN.000043;TL;1181.82;1181.82
S.ACM.GAN.000061;TL;1181.82;1181.82
S.ACM.GAN.000053;TL;1181.82;1181.82
S.ACM.GAN.000017;TL;1181.82;1181.82
S.ACM.GAN.000017;TL;1181.82;1181.82
S.ACM.GAN.000063;USD;71441.37;3103852.3699874007
2026-M-1025;EUR;22597.79;1174948.7859408308
2026-M-1025;EUR;149145.38;7754660.219414548
2026-M-1025;EUR;39169.49;2036577.2370405032
S.ACM.GKÇ.000048;TL;1250.04;1250.04
S.ACM.GKÇ.000062;TL;3333.44;3333.44
S.ACM.GNN.000179;TL;456960;456960
S.ACM.YNÇ.000005;TL;20000;20000
S.ACM.GKÇ.000077;TL;4170;4170
S.ACM.YNÇ.000005;TL;540000;540000
S.ACM.GNN.000121;USD;5167.31;224499.71760003478
S.ACM.GKÇ.000081;TL;3966;3966
S.ACM.GKÇ.000081;TL;2682;2682
S.ACM.GKÇ.000081;TL;788;788
S.ACM.GKÇ.000081;TL;350;350
S.ACM.GKÇ.000081;TL;882;882
S.ACM.GKÇ.000081;TL;1660;1660
S.ACM.GKÇ.000081;TL;260;260
S.ACM.GKÇ.000081;TL;3600;3600
S.ACM.GKÇ.000081;TL;7000;7000
S.ACM.GKÇ.000090;TL;350;350
S.ACM.GKÇ.000090;TL;150;150
S.ACM.GKÇ.000090;TL;3000;3000
S.ACM.GKÇ.000090;TL;350;350
S.ACM.GKÇ.000090;TL;2500;2500
S.ACM.GKÇ.000090;TL;600;600
S.ACM.GKÇ.000090;TL;700;700
S.ACM.GKÇ.000090;TL;1350;1350
2026/78;TL;2800;2800
2026/78;TL;7500;7500
2026/78;TL;9500;9500
2026/78;TL;2750;2750
2026/78;TL;5400;5400
2026/78;TL;960;960
2026/78;TL;31250;31250
2026/78;TL;9000;9000
2026/78;TL;5000;5000
2026/78;TL;6250;6250
2026/78;TL;3750;3750
2026/78;TL;28750;28750
2026/78;TL;2500;2500
2026/78;TL;2750;2750
2026/78;TL;4750;4750
2026/78;TL;6150;6150
2026/78;TL;6000;6000
2026/78;TL;225;225
2026/78;TL;6000;6000
2026/78;TL;1760;1760
TESTKURUMSOFT;TL;10;10
S.ACM.GAN.000054;TL;124000;124000
S.ACM.GAN.000054;TL;29250;29250
S.ACM.GNN.000151;TL;17850;17850
S.ACM.GNN.000152;TL;20700;20700
S.ACM.GNN.000153;TL;18900;18900
S.ACM.GNN.000157;TL;3100;3100
S.ACM.GNN.000096;TL;2900;2900
S.ACM.GNN.000096;TL;350;350
S.ACM.GNN.000158;TL;2500;2500
S.ACM.GNN.000156;TL;8200;8200
S.ACM.GNN.000154;TL;39280;39280
S.ACM.GNN.000155;TL;1591;1591
S.ACM.GNN.000094;TL;1600;1600
S.ACM.GNN.000135;TL;1500;1500
S.ACM.GNN.000136;TL;800;800
S.ACM.GNN.000095;TL;1680;1680
S.ACM.GNN.000111;TL;4980;4980
S.ACM.GNN.000170;TL;480;480
S.ACM.GNN.000170;TL;600;600
S.ACM.GNN.000170;TL;6300;6300
S.ACM.GNN.000170;TL;8700;8700
S.ACM.GNN.000170;TL;1000;1000
S.ACM.GNN.000170;TL;840;840
S.ACM.GNN.000170;TL;3200;3200
S.ACM.GNN.000170;TL;1200;1200
S.ACM.GNN.000170;TL;1170;1170
S.ACM.GNN.000170;TL;560;560
S.ACM.GNN.000170;TL;240;240
S.ACM.GNN.000123;TL;7380;7380
S.ACM.GNN.000123;TL;6840;6840
S.ACM.GAN.000022;USD;139876.79;6077107.789894426
S.ACM.GAN.000022;USD;123420.7;5362154.060042577
S.ACM.GNN.000129;USD;50159.67;2179244.4714776035
S.ACM.GNN.000130;USD;9825.09;426862.3191554069
TESTKURUMSOFT2;TL;1;1
QUO-248406-X9L6J;EUR;4970.62;258442.26069775905
QUO-248406-X9L6J;EUR;6677.7;347200.12478552485
QUO-248406-X9L6J;EUR;7711.99;400976.966671866
QUO-248406-X9L6J;EUR;7711.99;400976.966671866
QUO-248406-X9L6J;EUR;7711.99;400976.966671866
QUO-248406-X9L6J;EUR;7711.99;400976.966671866
QUO-249201-X6B3W;EUR;12811.82;666137.3680653044
QUO-250931-X5G8B;EUR;3300.32;171596.73477876568
QUO-250931-X5G8B;EUR;632.73;32898.143815317424
S.ACM.GAN.000023;TL;760;760
S.ACM.GAN.000024;TL;1500;1500
S.ACM.GAN.000024;TL;1125;1125
S.ACM.GAN.000024;TL;510;510
S.ACM.GAN.000024;TL;300;300
S.ACM.GAN.000024;TL;300;300
S.ACM.GAN.000024;TL;1040;1040
S.ACM.GKÇ.000097;TL;1500;1500
S.ACM.GKÇ.000097;TL;1200;1200
S.ACM.GKÇ.000097;TL;175;175
S.ACM.GKÇ.000097;TL;500;500
S.ACM.GKÇ.000079;TL;755;755
S.ACM.GKÇ.000079;TL;870;870
ACEM135;TL;1380;1380
ACEM135;TL;1800;1800
S.ACM.GKÇ.000068;TL;4440;4440
S.ACM.GKÇ.000068;TL;5856;5856
S.ACM.GKÇ.000069;TL;15900;15900
S.ACM.GKÇ.000069;TL;1037.5;1037.5
S.ACM.GKÇ.000069;TL;6250;6250
S.ACM.GKÇ.000083;TL;5570;5570
S.ACM.GKÇ.000083;TL;3050;3050
S.ACM.GKÇ.000083;TL;14500;14500
S.ACM.GKÇ.000075;TL;7400;7400
S.ACM.GKÇ.000080;TL;292;292
S.ACM.GKÇ.000080;TL;292;292
S.ACM.GKÇ.000080;TL;314;314
S.ACM.GKÇ.000080;TL;396;396
ACEM 135;TL;690;690
ACEM 135;TL;600;600
ACEM135;TL;8880;8880
ACEM135;TL;11712;11712
S.ACM.GKÇ.000079;TL;384;384
S.ACM.GKÇ.000079;TL;1563;1563
ACEM135;TL;5925;5925
ACEM 144;TL;6000;6000
